row,column,cor,p
Otu01363,Otu01414,1,0
Otu01401,Otu01414,1,0
Otu01411,Otu01414,1,0
Otu00525,Otu01415,1,0
Otu00546,Otu01415,1,0
Otu00551,Otu01415,1,0
Otu00950,Otu01415,1,0
Otu01024,Otu01415,1,0
Otu01239,Otu01415,1,0
Otu01267,Otu01415,1,0
Otu01327,Otu01415,1,0
Otu00845,Otu01420,1,0
Otu01404,Otu01420,1,0
Otu00665,Otu01421,1,0
Otu00218,Otu01425,1,0
Otu00247,Otu01425,1,0
Otu00582,Otu01425,1,0
Otu00585,Otu01425,1,0
Otu00928,Otu01425,1,0
Otu01318,Otu01425,1,0
Otu01361,Otu01425,1,0
Otu01388,Otu01425,1,0
Otu01405,Otu01425,1,0
Otu00405,Otu01428,1,0
Otu01050,Otu01428,1,0
Otu01116,Otu01428,1,0
Otu01079,Otu01430,1,0
Otu01259,Otu01430,1,0
Otu01194,Otu01434,1,0
Otu00368,Otu01435,1,0
Otu00400,Otu01435,1,0
Otu00560,Otu01435,1,0
Otu00807,Otu01435,1,0
Otu00930,Otu01435,1,0
Otu00967,Otu01435,1,0
Otu00974,Otu01435,1,0
Otu01091,Otu01435,1,0
Otu01100,Otu01435,1,0
Otu01155,Otu01435,1,0
Otu01218,Otu01435,1,0
Otu01273,Otu01435,1,0
Otu01290,Otu01435,1,0
Otu00368,Otu01440,1,0
Otu00400,Otu01440,1,0
Otu00560,Otu01440,1,0
Otu00807,Otu01440,1,0
Otu00930,Otu01440,1,0
Otu00967,Otu01440,1,0
Otu00974,Otu01440,1,0
Otu01091,Otu01440,1,0
Otu01100,Otu01440,1,0
Otu01155,Otu01440,1,0
Otu01218,Otu01440,1,0
Otu01273,Otu01440,1,0
Otu01290,Otu01440,1,0
Otu01435,Otu01440,1,0
Otu01079,Otu01447,1,0
Otu01259,Otu01447,1,0
Otu01430,Otu01447,1,0
Otu00716,Otu01452,1,0
Otu00804,Otu01452,1,0
Otu00881,Otu01452,1,0
Otu01094,Otu01452,1,0
Otu01232,Otu01452,1,0
Otu01236,Otu01452,1,0
Otu01294,Otu01452,1,0
Otu01316,Otu01452,1,0
Otu00552,Otu01455,1,0
Otu01107,Otu01455,1,0
Otu01121,Otu01455,1,0
Otu01271,Otu01455,1,0
Otu00901,Otu01460,1,0
Otu00302,Otu01462,1,0
Otu00308,Otu01462,1,0
Otu00348,Otu01462,1,0
Otu00677,Otu01462,1,0
Otu00701,Otu01462,1,0
Otu00789,Otu01462,1,0
Otu00937,Otu01462,1,0
Otu00949,Otu01462,1,0
Otu01018,Otu01462,1,0
Otu01067,Otu01462,1,0
Otu01215,Otu01462,1,0
Otu01378,Otu01462,1,0
Otu01407,Otu01462,1,0
Otu00520,Otu01463,1,0
Otu00533,Otu01463,1,0
Otu00658,Otu01463,1,0
Otu00841,Otu01463,1,0
Otu01161,Otu01463,1,0
Otu01248,Otu01463,1,0
Otu01410,Otu01463,1,0
Otu00366,Otu01469,1,0
Otu00476,Otu01469,1,0
Otu00521,Otu01469,1,0
Otu00531,Otu01469,1,0
Otu00588,Otu01469,1,0
Otu00617,Otu01469,1,0
Otu00777,Otu01469,1,0
Otu00783,Otu01469,1,0
Otu00886,Otu01469,1,0
Otu00957,Otu01469,1,0
Otu01086,Otu01469,1,0
Otu01098,Otu01469,1,0
Otu01160,Otu01469,1,0
Otu01180,Otu01469,1,0
Otu01245,Otu01469,1,0
Otu01291,Otu01469,1,0
Otu01370,Otu01469,1,0
Otu00285,Otu01471,1,0
Otu00431,Otu01471,1,0
Otu01183,Otu01471,1,0
Otu01219,Otu01471,1,0
Otu00874,Otu01474,1,0
Otu00253,Otu01482,1,0
Otu00499,Otu01482,1,0
Otu01115,Otu01482,1,0
Otu01323,Otu01482,1,0
Otu00720,Otu01484,1,0
Otu00890,Otu01484,1,0
Otu00935,Otu01484,1,0
Otu00971,Otu01484,1,0
Otu00525,Otu01488,1,0
Otu00546,Otu01488,1,0
Otu00551,Otu01488,1,0
Otu00950,Otu01488,1,0
Otu01024,Otu01488,1,0
Otu01239,Otu01488,1,0
Otu01267,Otu01488,1,0
Otu01327,Otu01488,1,0
Otu01415,Otu01488,1,0
Otu00552,Otu01489,1,0
Otu01107,Otu01489,1,0
Otu01121,Otu01489,1,0
Otu01271,Otu01489,1,0
Otu01455,Otu01489,1,0
Otu00984,Otu01496,1,0
